location,forecast_date,quantile,value,target,target_end_date,type
02,2021-05-03,0.01,0,1 wk ahead inc death,2021-05-08,quantile
02,2021-05-03,0.025,0,1 wk ahead inc death,2021-05-08,quantile
02,2021-05-03,0.05,0,1 wk ahead inc death,2021-05-08,quantile
02,2021-05-03,0.1,0,1 wk ahead inc death,2021-05-08,quantile
02,2021-05-03,0.15,0.5282403733456557,1 wk ahead inc death,2021-05-08,quantile
02,2021-05-03,0.2,2.7979728676905866,1 wk ahead inc death,2021-05-08,quantile
02,2021-05-03,0.25,4.083649750703273,1 wk ahead inc death,2021-05-08,quantile
02,2021-05-03,0.3,5.052339570863703,1 wk ahead inc death,2021-05-08,quantile
02,2021-05-03,0.35,5.56702926405284,1 wk ahead inc death,2021-05-08,quantile
02,2021-05-03,0.4,6.4348809686204325,1 wk ahead inc death,2021-05-08,quantile
02,2021-05-03,0.45,7.044879669820333,1 wk ahead inc death,2021-05-08,quantile
02,2021-05-03,0.5,7.519359466702431,1 wk ahead inc death,2021-05-08,quantile
02,2021-05-03,0.55,8.29644279724247,1 wk ahead inc death,2021-05-08,quantile
02,2021-05-03,0.6,9.093794282917647,1 wk ahead inc death,2021-05-08,quantile
02,2021-05-03,0.65,10.040883042199294,1 wk ahead inc death,2021-05-08,quantile
02,2021-05-03,0.7,10.939855294828273,1 wk ahead inc death,2021-05-08,quantile
02,2021-05-03,0.75,12.889811567296086,1 wk ahead inc death,2021-05-08,quantile
02,2021-05-03,0.8,15.235803606049071,1 wk ahead inc death,2021-05-08,quantile
02,2021-05-03,0.85,17.287553581730723,1 wk ahead inc death,2021-05-08,quantile
02,2021-05-03,0.9,21.263038302402684,1 wk ahead inc death,2021-05-08,quantile
02,2021-05-03,0.95,26.49872664112498,1 wk ahead inc death,2021-05-08,quantile
02,2021-05-03,0.975,31.813194874260997,1 wk ahead inc death,2021-05-08,quantile
02,2021-05-03,0.99,39.686285226516866,1 wk ahead inc death,2021-05-08,quantile
01,2021-05-03,0.01,13.11647674940974,1 wk ahead inc death,2021-05-08,quantile
01,2021-05-03,0.025,25.41679928059834,1 wk ahead inc death,2021-05-08,quantile
01,2021-05-03,0.05,32.436471037270906,1 wk ahead inc death,2021-05-08,quantile
01,2021-05-03,0.1,38.278730159393696,1 wk ahead inc death,2021-05-08,quantile
01,2021-05-03,0.15,42.02861784903468,1 wk ahead inc death,2021-05-08,quantile
01,2021-05-03,0.2,44.27921705164479,1 wk ahead inc death,2021-05-08,quantile
01,2021-05-03,0.25,46.48149896585177,1 wk ahead inc death,2021-05-08,quantile
01,2021-05-03,0.3,47.60159161348937,1 wk ahead inc death,2021-05-08,quantile
01,2021-05-03,0.35,48.74504507784928,1 wk ahead inc death,2021-05-08,quantile
01,2021-05-03,0.4,49.95920747630613,1 wk ahead inc death,2021-05-08,quantile
01,2021-05-03,0.45,50.74538263848795,1 wk ahead inc death,2021-05-08,quantile
01,2021-05-03,0.5,52.21374864205935,1 wk ahead inc death,2021-05-08,quantile
01,2021-05-03,0.55,53.179169164388874,1 wk ahead inc death,2021-05-08,quantile
01,2021-05-03,0.6,54.01749477310043,1 wk ahead inc death,2021-05-08,quantile
01,2021-05-03,0.65,55.22046000356606,1 wk ahead inc death,2021-05-08,quantile
01,2021-05-03,0.7,56.73878158306077,1 wk ahead inc death,2021-05-08,quantile
01,2021-05-03,0.75,59.46227584420117,1 wk ahead inc death,2021-05-08,quantile
01,2021-05-03,0.8,62.948256247172566,1 wk ahead inc death,2021-05-08,quantile
01,2021-05-03,0.85,67.41758108644288,1 wk ahead inc death,2021-05-08,quantile
01,2021-05-03,0.9,75.09502012369252,1 wk ahead inc death,2021-05-08,quantile
01,2021-05-03,0.95,85.4689786078087,1 wk ahead inc death,2021-05-08,quantile
01,2021-05-03,0.975,94.67410326225972,1 wk ahead inc death,2021-05-08,quantile
01,2021-05-03,0.99,102.63280822542453,1 wk ahead inc death,2021-05-08,quantile
05,2021-05-03,0.01,0,1 wk ahead inc death,2021-05-08,quantile
05,2021-05-03,0.025,4.269221612036273,1 wk ahead inc death,2021-05-08,quantile
05,2021-05-03,0.05,7.518570794309389,1 wk ahead inc death,2021-05-08,quantile
05,2021-05-03,0.1,10.797355478951781,1 wk ahead inc death,2021-05-08,quantile
05,2021-05-03,0.15,12.97865425272036,1 wk ahead inc death,2021-05-08,quantile
05,2021-05-03,0.2,15.360358414795552,1 wk ahead inc death,2021-05-08,quantile
05,2021-05-03,0.25,16.813589031709363,1 wk ahead inc death,2021-05-08,quantile
05,2021-05-03,0.3,17.80200935636194,1 wk ahead inc death,2021-05-08,quantile
05,2021-05-03,0.35,18.396425242359623,1 wk ahead inc death,2021-05-08,quantile
05,2021-05-03,0.4,19.284873749843552,1 wk ahead inc death,2021-05-08,quantile
05,2021-05-03,0.45,20.063540634159455,1 wk ahead inc death,2021-05-08,quantile
05,2021-05-03,0.5,20.939657674488195,1 wk ahead inc death,2021-05-08,quantile
05,2021-05-03,0.55,21.817579125915127,1 wk ahead inc death,2021-05-08,quantile
05,2021-05-03,0.6,22.656666690397234,1 wk ahead inc death,2021-05-08,quantile
05,2021-05-03,0.65,23.713788757058232,1 wk ahead inc death,2021-05-08,quantile
05,2021-05-03,0.7,24.802751411719463,1 wk ahead inc death,2021-05-08,quantile
05,2021-05-03,0.75,26.911240808417183,1 wk ahead inc death,2021-05-08,quantile
05,2021-05-03,0.8,29.501269297945754,1 wk ahead inc death,2021-05-08,quantile
05,2021-05-03,0.85,32.281755598732424,1 wk ahead inc death,2021-05-08,quantile
05,2021-05-03,0.9,37.38004023100632,1 wk ahead inc death,2021-05-08,quantile
05,2021-05-03,0.95,43.877091152320325,1 wk ahead inc death,2021-05-08,quantile
05,2021-05-03,0.975,50.72019496753486,1 wk ahead inc death,2021-05-08,quantile
05,2021-05-03,0.99,59.142887098585675,1 wk ahead inc death,2021-05-08,quantile
04,2021-05-03,0.01,39.74816893438669,1 wk ahead inc death,2021-05-08,quantile
04,2021-05-03,0.025,50.59367578091239,1 wk ahead inc death,2021-05-08,quantile
04,2021-05-03,0.05,55.52966986346616,1 wk ahead inc death,2021-05-08,quantile
04,2021-05-03,0.1,60.2679787255715,1 wk ahead inc death,2021-05-08,quantile
04,2021-05-03,0.15,62.78510610687091,1 wk ahead inc death,2021-05-08,quantile
04,2021-05-03,0.2,66.0607769675794,1 wk ahead inc death,2021-05-08,quantile
04,2021-05-03,0.25,67.71735351121104,1 wk ahead inc death,2021-05-08,quantile
04,2021-05-03,0.3,68.80620633347839,1 wk ahead inc death,2021-05-08,quantile
04,2021-05-03,0.35,69.58635748122896,1 wk ahead inc death,2021-05-08,quantile
04,2021-05-03,0.4,70.51031954841936,1 wk ahead inc death,2021-05-08,quantile
04,2021-05-03,0.45,72.77088732594376,1 wk ahead inc death,2021-05-08,quantile
04,2021-05-03,0.5,75.1554967060043,1 wk ahead inc death,2021-05-08,quantile
04,2021-05-03,0.55,76.67089747333794,1 wk ahead inc death,2021-05-08,quantile
04,2021-05-03,0.6,78.46196912182661,1 wk ahead inc death,2021-05-08,quantile
04,2021-05-03,0.65,80.09184894921574,1 wk ahead inc death,2021-05-08,quantile
04,2021-05-03,0.7,82.26221777697717,1 wk ahead inc death,2021-05-08,quantile
04,2021-05-03,0.75,85.35445205085304,1 wk ahead inc death,2021-05-08,quantile
